Districts,Latitude,Longitude
Sopot Centrum,54.441369,18.5622585652538
Karlikowo,54.7373085,18.1497494
Kamienny Potok,54.4572517,18.5296198
Przylesie,54.3240335,17.948903
Dolny Sopot Grunwaldzka,54.4440246,18.5699753
Dolny Sopot Haffnera,54.4549612,18.5595695
Lisie Wzgórze,54.4480631,18.5513092
Zajęcze Wzgórze,54.4335985,18.5488243
Górny Sopot,54.4447922,18.5684902
Brodwino,54.45679685,18.5322386453953
Osiedle Mickiewicza,51.2418491,22.526549
Świemirowo,54.4285502,18.5556503
Leśna Polana\Gręzowo,54.4368186,18.5125282
Centrum Południe – Kościuszki,54.0369559,19.0339222
Sopocki Las,50.4579689,23.1758574
Osowa,51.4271416,23.5013689
Oliwa,54.4061596,18.5378525
"Żabianka, Jelitkowo",54.4201197,18.5756153
Przymorze Małe,54.4079643,18.5802739
Przymorze Wielkie,54.4117245,18.6009425
VII Dwór,54.3874305,18.5596778
Strzyża,54.3821702,18.6120773
Zaspa-Rozstaje,54.3988613,18.6074495
Brzeźno,54.4048419,18.6310398
Matarnia,54.3817307,18.4835594
Brętowo,54.3692019,18.548881
Wrzeszcz Dolny,54.3878956,18.6194927
Wrzeszcz Górny,54.3751099,18.5959214
Letnica,54.39083085,18.653230162113
Nowy Port,54.40162225,18.6671213641237
Piecki-Migowo,54.3578437,18.5802681
Suchanino,54.3565661,18.6056303
Siedlce,52.1663751,22.2765138
Wzgórze Mickiewicza,54.3439248,18.6092526
Aniołki,54.3643368,18.6280641
Młyniska,54.3708051,18.648289
Stogi,54.3739022,18.7031185
Przeróbką,54.3821548,18.6715684
Śródmieście,52.2328098,21.019067
Krakowiec-Górki Zachodnie,54.3624375,18.7542093
Wyspa Sobieszewska,54.3357898,18.8719449
Kokoszki,54.3508029,18.4924659100485
Chełm,51.134682,23.4817302
Ujeścisko-Łostowice,54.3310286,18.5844499
Jasień,51.7515442,15.0123351
Orunia-Św. Wojciech-Lipce,54.3239034,18.6329388
Olszynka,49.9720802,19.905184
Rudniki,54.01565,17.51242
Babie Doły,54.57159275,18.5427855322389
Chwarzno-Wiczlino,54.5020496,18.4192727897537
Chylonia,54.54335055,18.4737217074966
Cisowa,49.7084953,22.6201439
Dąbrowa,53.40802735,20.2072225551886
Działki Leśne,54.5140467,18.5203126810186
Kamienna Góra,50.7837361,16.0336631
Karwiny,54.48060845,18.4818171924555
Leszczynki,51.0025905,15.3091658
Mały Kack,54.47642385,18.5173452890413
Obłuże,54.5588171,18.5161102803522
Oksywie,54.548376,18.5409181132059
Orłowo,54.4740684,18.5515584492326
Pogórze,54.55795645,18.4813112622012
Pustki Cisowskie-Demptowo,54.53447,18.4529088
Redłowo,54.49268575,18.5511470341194
Śródmieście,52.2328098,21.019067
Wielki Kack,54.4474365,18.4765685015845
Witomino-Leśniczówka,54.4926473,18.5106612
Witomino-Radiostacja,54.4996567,18.5158079
Wzgórze Św. Maksymiliana,54.5029646,18.543279699264
